model,method,params,step,train_loss,test_loss
ST-2.67M,Our method,2309123,50,0.00021819,0.00026565
ST-2.67M,Set-Aware,2307074,51,0.01656273,0.01640559
ST-2.67M,Our method,2309123,51,0.00024831,0.00027691
ST-2.67M,Set-Aware,2307074,52,0.01638306,0.01631233
ST-2.67M,Our method,2309123,52,0.00026182,0.00016069
ST-2.67M,Set-Aware,2307074,53,0.01628575,0.01621441
ST-2.67M,Our method,2309123,53,0.00015285,0.00005064
ST-2.67M,Set-Aware,2307074,54,0.01620208,0.01615741
ST-2.67M,Our method,2309123,54,0.00004732,0.00006180
ST-2.67M,Set-Aware,2307074,55,0.01615372,0.01618214
ST-2.67M,Our method,2309123,55,0.00005907,0.00007726
ST-2.67M,Set-Aware,2307074,56,0.01617204,0.01616623
ST-2.67M,Our method,2309123,56,0.00007396,0.00015319
ST-2.67M,Set-Aware,2307074,57,0.01614407,0.01607457
ST-2.67M,Our method,2309123,57,0.00014605,0.00015219
ST-2.67M,Set-Aware,2307074,58,0.01603937,0.01598197
ST-2.67M,Our method,2309123,58,0.00014483,0.00009562
ST-2.67M,Set-Aware,2307074,59,0.01593100,0.01588457
ST-2.67M,Our method,2309123,59,0.00009142,0.00005824
ST-2.67M,Set-Aware,2307074,60,0.01582074,0.01579316
ST-2.67M,Our method,2309123,60,0.00005579,0.00001849
ST-8.34M,Set-Aware,7548674,1,0.14804101,1.35161376
ST-8.34M,Our method,7551747,1,0.76715547,0.91970378
ST-8.34M,Set-Aware,7548674,2,1.30322063,2.91789269
ST-8.34M,Our method,7551747,2,0.90987694,4.39908314
ST-8.34M,Set-Aware,7548674,3,2.99123597,0.86007845
ST-8.34M,Our method,7551747,3,4.41638184,0.32925868
ST-8.34M,Set-Aware,7548674,4,0.84302413,0.56936049
ST-8.34M,Our method,7551747,4,0.33488357,0.17983088
ST-8.34M,Set-Aware,7548674,5,0.50997013,0.07288329
ST-8.34M,Our method,7551747,5,0.17551573,0.04912326
ST-8.34M,Set-Aware,7548674,6,0.07377785,0.10876841
ST-8.34M,Our method,7551747,6,0.05037220,0.07303731
ST-8.34M,Set-Aware,7548674,7,0.11184993,0.06232077
ST-8.34M,Our method,7551747,7,0.07081960,0.01172058
ST-8.34M,Set-Aware,7548674,8,0.06419701,0.08188336
ST-8.34M,Our method,7551747,8,0.01144253,0.01365292
ST-8.34M,Set-Aware,7548674,9,0.08069514,0.05016392
ST-8.34M,Our method,7551747,9,0.01368673,0.01518724
ST-8.34M,Set-Aware,7548674,10,0.04493715,0.10569334
ST-8.34M,Our method,7551747,10,0.01517363,0.00663770
ST-8.34M,Set-Aware,7548674,11,0.12328129,0.04054787
ST-8.34M,Our method,7551747,11,0.00659583,0.00911271
ST-8.34M,Set-Aware,7548674,12,0.03670694,0.06414622
ST-8.34M,Our method,7551747,12,0.00909182,0.00928598
ST-8.34M,Set-Aware,7548674,13,0.06283968,0.05104489
ST-8.34M,Our method,7551747,13,0.00929921,0.00653541
ST-8.34M,Set-Aware,7548674,14,0.05175713,0.04321972
ST-8.34M,Our method,7551747,14,0.00656531,0.00527422
ST-8.34M,Set-Aware,7548674,15,0.04318761,0.05733455
ST-8.34M,Our method,7551747,15,0.00529661,0.00616160
ST-8.34M,Set-Aware,7548674,16,0.05801705,0.05173827
ST-8.34M,Our method,7551747,16,0.00616594,0.00608868
ST-8.34M,Set-Aware,7548674,17,0.05412725,0.03782921
ST-8.34M,Our method,7551747,17,0.00608008,0.00337846
ST-8.34M,Set-Aware,7548674,18,0.04001758,0.03837169
ST-8.34M,Our method,7551747,18,0.00336798,0.00297153
ST-8.34M,Set-Aware,7548674,19,0.03801052,0.04465231
ST-8.34M,Our method,7551747,19,0.00296692,0.00470150
ST-8.34M,Set-Aware,7548674,20,0.04154573,0.03643724
ST-8.34M,Our method,7551747,20,0.00470369,0.00423154
ST-8.34M,Set-Aware,7548674,21,0.03331389,0.02890855
ST-8.34M,Our method,7551747,21,0.00423665,0.00174877
ST-8.34M,Set-Aware,7548674,22,0.02879928,0.02557023
ST-8.34M,Our method,7551747,22,0.00175244,0.00141663
ST-8.34M,Set-Aware,7548674,23,0.02686585,0.02420777
ST-8.34M,Our method,7551747,23,0.00141733,0.00347671
ST-8.34M,Set-Aware,7548674,24,0.02423155,0.02753562
ST-8.34M,Our method,7551747,24,0.00347549,0.00321625
ST-8.34M,Set-Aware,7548674,25,0.02539198,0.02836635
ST-8.34M,Our method,7551747,25,0.00321477,0.00061592
ST-8.34M,Set-Aware,7548674,26,0.02584292,0.02300284
ST-8.34M,Our method,7551747,26,0.00061520,0.00071738
ST-8.34M,Set-Aware,7548674,27,0.02214502,0.02227082
ST-8.34M,Our method,7551747,27,0.00071763,0.00275671
ST-8.34M,Set-Aware,7548674,28,0.02312696,0.02232117
ST-8.34M,Our method,7551747,28,0.00275754,0.00206385
ST-8.34M,Set-Aware,7548674,29,0.02290112,0.02304742
ST-8.34M,Our method,7551747,29,0.00206466,0.00018200
ST-8.34M,Set-Aware,7548674,30,0.02168309,0.02631389
ST-8.34M,Our method,7551747,30,0.00018226,0.00070285
ST-8.34M,Set-Aware,7548674,31,0.02353003,0.02451046
ST-8.34M,Our method,7551747,31,0.00070237,0.00177941
ST-8.34M,Set-Aware,7548674,32,0.02229284,0.02132399
ST-8.34M,Our method,7551747,32,0.00177858,0.00110627
ST-8.34M,Set-Aware,7548674,33,0.02089168,0.02085884
ST-8.34M,Our method,7551747,33,0.00110584,0.00033985
ST-8.34M,Set-Aware,7548674,34,0.02152787,0.02048135
ST-8.34M,Our method,7551747,34,0.00034034,0.00064082
ST-8.34M,Set-Aware,7548674,35,0.02068603,0.02158963
ST-8.34M,Our method,7551747,35,0.00064196,0.00088334
ST-8.34M,Set-Aware,7548674,36,0.02068217,0.02284654
ST-8.34M,Our method,7551747,36,0.00088416,0.00068062
ST-8.34M,Set-Aware,7548674,37,0.02152004,0.02117942
ST-8.34M,Our method,7551747,37,0.00068036,0.00054319
ST-8.34M,Set-Aware,7548674,38,0.02047606,0.02006208
ST-8.34M,Our method,7551747,38,0.00054205,0.00037100
ST-8.34M,Set-Aware,7548674,39,0.02028609,0.01994527
ST-8.34M,Our method,7551747,39,0.00036996,0.00032408
ST-8.34M,Set-Aware,7548674,40,0.02035740,0.02016378
ST-8.34M,Our method,7551747,40,0.00032406,0.00061370
ST-8.34M,Set-Aware,7548674,41,0.01974819,0.02163705
ST-8.34M,Our method,7551747,41,0.00061472,0.00049312
ST-8.34M,Set-Aware,7548674,42,0.02019938,0.02183300
ST-8.34M,Our method,7551747,42,0.00049428,0.00005694
ST-8.34M,Set-Aware,7548674,43,0.02024672,0.02030482
ST-8.34M,Our method,7551747,43,0.00005727,0.00024090
ST-8.34M,Set-Aware,7548674,44,0.01955370,0.01956980
ST-8.34M,Our method,7551747,44,0.00024023,0.00052898
ST-8.34M,Set-Aware,7548674,45,0.01963210,0.01940147
ST-8.34M,Our method,7551747,45,0.00052801,0.00022633
ST-8.34M,Set-Aware,7548674,46,0.01935547,0.02003788
ST-8.34M,Our method,7551747,46,0.00022589,0.00002943
ST-8.34M,Set-Aware,7548674,47,0.01926105,0.02059588
ST-8.34M,Our method,7551747,47,0.00002977,0.00025033
ST-8.34M,Set-Aware,7548674,48,0.01941269,0.01993809
ST-8.34M,Our method,7551747,48,0.00025100,0.00029492
ST-8.34M,Set-Aware,7548674,49,0.01904300,0.01916531
ST-8.34M,Our method,7551747,49,0.00029535,0.00010982
ST-8.34M,Set-Aware,7548674,50,0.01877884,0.01913189
ST-8.34M,Our method,7551747,50,0.00010978,0.00009797
ST-8.34M,Set-Aware,7548674,51,0.01881364,0.01945537
ST-8.34M,Our method,7551747,51,0.00009764,0.00015294
ST-8.34M,Set-Aware,7548674,52,0.01858600,0.02011977
ST-8.34M,Our method,7551747,52,0.00015264,0.00013731
ST-8.34M,Set-Aware,7548674,53,0.01866344,0.01995185
ST-8.34M,Our method,7551747,53,0.00013722,0.00013319
ST-8.34M,Set-Aware,7548674,54,0.01853689,0.01909207
ST-8.34M,Our method,7551747,54,0.00013332,0.00006675
ST-8.34M,Set-Aware,7548674,55,0.01825411,0.01876589
ST-8.34M,Our method,7551747,55,0.00006697,0.00005047
ST-8.34M,Set-Aware,7548674,56,0.01833321,0.01885013
ST-8.34M,Our method,7551747,56,0.00005061,0.00013875
ST-8.34M,Set-Aware,7548674,57,0.01822524,0.01926638
ST-8.34M,Our method,7551747,57,0.00013871,0.00008799
ST-8.34M,Set-Aware,7548674,58,0.01818389,0.01937528
ST-8.34M,Our method,7551747,58,0.00008783,0.00000364
ST-8.34M,Set-Aware,7548674,59,0.01815235,0.01889707
ST-8.34M,Our method,7551747,59,0.00000354,0.00007200
ST-8.34M,Set-Aware,7548674,60,0.01796301,0.01865784
ST-8.34M,Our method,7551747,60,0.00007208,0.00009741
